datetime,latitude,longitude,altitude
2023-12-27T09:00:00Z,-25.52260,-57.30560,0.0
2023-12-27T09:01:00Z,-25.52169,-57.30664,240.0
2023-12-27T09:02:00Z,-25.51955,-57.31029,480.0
2023-12-27T09:03:00Z,-25.51770,-57.31415,720.0
2023-12-27T09:04:00Z,-25.51648,-57.31695,960.0
2023-12-27T09:05:00Z,-25.51567,-57.31842,1200.0
2023-12-27T09:06:00Z,-25.51492,-57.31878,1440.0
2023-12-27T09:07:00Z,-25.51386,-57.31831,1680.0
2023-12-27T09:08:00Z,-25.51239,-57.31716,1920.0
2023-12-27T09:09:00Z,-25.51059,-57.31552,2160.0
2023-12-27T09:10:00Z,-25.50856,-57.31360,2400.0
2023-12-27T09:11:00Z,-25.50633,-57.31158,2640.0
2023-12-27T09:12:00Z,-25.50396,-57.30964,2880.0
2023-12-27T09:13:00Z,-25.50152,-57.30792,3120.0
2023-12-27T09:14:00Z,-25.49915,-57.30650,3360.0
2023-12-27T09:15:00Z,-25.49690,-57.30540,3600.0
2023-12-27T09:16:00Z,-25.49475,-57.30459,3840.0
2023-12-27T09:17:00Z,-25.49265,-57.30393,4080.0
2023-12-27T09:18:00Z,-25.49051,-57.30328,4320.0
2023-12-27T09:19:00Z,-25.48825,-57.30248,4560.0
2023-12-27T09:20:00Z,-25.48579,-57.30131,4800.0
2023-12-27T09:21:00Z,-25.48337,-57.29948,5040.0
2023-12-27T09:22:00Z,-25.48124,-57.29674,5280.0
2023-12-27T09:23:00Z,-25.47961,-57.29283,5520.0
2023-12-27T09:24:00Z,-25.47823,-57.28794,5760.0
2023-12-27T09:25:00Z,-25.47690,-57.28222,6000.0
2023-12-27T09:26:00Z,-25.47566,-57.27573,6240.0
2023-12-27T09:27:00Z,-25.47440,-57.26862,6480.0
2023-12-27T09:28:00Z,-25.47286,-57.26127,6720.0
2023-12-27T09:29:00Z,-25.47094,-57.25391,6960.0
2023-12-27T09:30:00Z,-25.46856,-57.24671,7200.0
2023-12-27T09:31:00Z,-25.46565,-57.23960,7440.0
2023-12-27T09:32:00Z,-25.46219,-57.23252,7680.0
2023-12-27T09:33:00Z,-25.45818,-57.22504,7920.0
2023-12-27T09:34:00Z,-25.45364,-57.21701,8160.0
2023-12-27T09:35:00Z,-25.44884,-57.20838,8400.0
2023-12-27T09:36:00Z,-25.44391,-57.19913,8640.0
2023-12-27T09:37:00Z,-25.43876,-57.18951,8880.0
2023-12-27T09:38:00Z,-25.43333,-57.17965,9120.0
2023-12-27T09:39:00Z,-25.42793,-57.16972,9360.0
2023-12-27T09:40:00Z,-25.42295,-57.15992,9600.0
2023-12-27T09:41:00Z,-25.41836,-57.15018,9840.0
2023-12-27T09:42:00Z,-25.41375,-57.14003,10080.0
2023-12-27T09:43:00Z,-25.40908,-57.12945,10320.0
2023-12-27T09:44:00Z,-25.40438,-57.11835,10560.0
2023-12-27T09:45:00Z,-25.39966,-57.10661,10800.0
2023-12-27T09:46:00Z,-25.39493,-57.09423,11040.0
2023-12-27T09:47:00Z,-25.39034,-57.08121,11280.0
2023-12-27T09:48:00Z,-25.38598,-57.06757,11520.0
2023-12-27T09:49:00Z,-25.38185,-57.05335,11760.0
2023-12-27T09:50:00Z,-25.37808,-57.03892,12000.0
2023-12-27T09:51:00Z,-25.37471,-57.02441,12240.0
2023-12-27T09:52:00Z,-25.37170,-57.00980,12480.0
2023-12-27T09:53:00Z,-25.36872,-56.99523,12720.0
2023-12-27T09:54:00Z,-25.36548,-56.98084,12960.0
2023-12-27T09:55:00Z,-25.36199,-56.96660,13200.0
2023-12-27T09:56:00Z,-25.35820,-56.95250,13440.0
2023-12-27T09:57:00Z,-25.35357,-56.93842,13680.0
2023-12-27T09:58:00Z,-25.34806,-56.92440,13920.0
2023-12-27T09:59:00Z,-25.34167,-56.91045,14160.0
2023-12-27T10:00:00Z,-25.33464,-56.89671,14400.0
2023-12-27T10:01:00Z,-25.32855,-56.88381,14640.0
2023-12-27T10:02:00Z,-25.32355,-56.87181,14880.0
2023-12-27T10:03:00Z,-25.31967,-56.86070,15120.0
2023-12-27T10:04:00Z,-25.31689,-56.85047,15360.0
2023-12-27T10:05:00Z,-25.31474,-56.84088,15600.0
2023-12-27T10:06:00Z,-25.31270,-56.83166,15840.0
2023-12-27T10:07:00Z,-25.31078,-56.82282,16080.0
2023-12-27T10:08:00Z,-25.30897,-56.81435,16320.0
2023-12-27T10:09:00Z,-25.30726,-56.80625,16560.0
2023-12-27T10:10:00Z,-25.30568,-56.79856,16800.0
2023-12-27T10:11:00Z,-25.30432,-56.79142,17040.0
2023-12-27T10:12:00Z,-25.30320,-56.78486,17280.0
2023-12-27T10:13:00Z,-25.30232,-56.77887,17520.0
2023-12-27T10:14:00Z,-25.30167,-56.77346,17760.0
2023-12-27T10:15:00Z,-25.30125,-56.76862,18000.0
2023-12-27T10:16:00Z,-25.30107,-56.76436,18240.0
2023-12-27T10:17:00Z,-25.30112,-56.76068,18480.0
2023-12-27T10:18:00Z,-25.30139,-56.75759,18720.0
2023-12-27T10:19:00Z,-25.30163,-56.75514,18960.0
2023-12-27T10:20:00Z,-25.30164,-56.75336,19200.0
2023-12-27T10:21:00Z,-25.30143,-56.75225,19440.0
2023-12-27T10:22:00Z,-25.30100,-56.75182,19680.0
2023-12-27T10:23:00Z,-25.30034,-56.75206,19920.0
2023-12-27T10:24:00Z,-25.29945,-56.75296,20160.0
2023-12-27T10:25:00Z,-25.29834,-56.75453,20400.0
2023-12-27T10:26:00Z,-25.29700,-56.75677,20640.0
2023-12-27T10:27:00Z,-25.29557,-56.75962,20880.0
2023-12-27T10:28:00Z,-25.29428,-56.76296,21120.0
2023-12-27T10:29:00Z,-25.29314,-56.76681,21360.0
2023-12-27T10:30:00Z,-25.29215,-56.77115,21600.0
2023-12-27T10:31:00Z,-25.29131,-56.77599,21840.0
2023-12-27T10:32:00Z,-25.29064,-56.78134,22080.0
2023-12-27T10:33:00Z,-25.29011,-56.78718,22320.0
2023-12-27T10:34:00Z,-25.28975,-56.79353,22560.0
2023-12-27T10:35:00Z,-25.28955,-56.80038,22800.0
2023-12-27T10:35:50.15625Z,-25.28951,-56.80653,23000.6
2023-12-27T10:35:50.15625Z,-25.28951,-56.80653,23000.6
2023-12-27T10:36:50.15625Z,-25.28926,-56.81319,22183.8
2023-12-27T10:37:50.15625Z,-25.28848,-56.81819,21416.3
2023-12-27T10:38:50.15625Z,-25.28720,-56.82162,20692.3
2023-12-27T10:39:50.15625Z,-25.28600,-56.82337,20007.3
2023-12-27T10:40:50.15625Z,-25.28545,-56.82333,19357.3
2023-12-27T10:41:50.15625Z,-25.28553,-56.82157,18738.8
2023-12-27T10:42:50.15625Z,-25.28572,-56.81824,18149.0
2023-12-27T10:43:50.15625Z,-25.28540,-56.81346,17585.3
2023-12-27T10:44:50.15625Z,-25.28459,-56.80729,17045.4
2023-12-27T10:45:50.15625Z,-25.28333,-56.79980,16527.5
2023-12-27T10:46:50.15625Z,-25.28179,-56.79138,16029.9
2023-12-27T10:47:50.15625Z,-25.28007,-56.78224,15551.0
2023-12-27T10:48:50.15625Z,-25.27785,-56.77219,15089.4
2023-12-27T10:49:50.15625Z,-25.27368,-56.76051,14643.9
2023-12-27T10:50:50.15625Z,-25.26758,-56.74722,14213.6
2023-12-27T10:51:50.15625Z,-25.26149,-56.73314,13797.2
2023-12-27T10:52:50.15625Z,-25.25658,-56.71873,13394.1
2023-12-27T10:53:50.15625Z,-25.25268,-56.70420,13003.3
2023-12-27T10:54:50.15625Z,-25.24954,-56.68995,12624.2
2023-12-27T10:55:50.15625Z,-25.24690,-56.67596,12256.0
2023-12-27T10:56:50.15625Z,-25.24372,-56.66202,11898.1
2023-12-27T10:57:50.15625Z,-25.23992,-56.64817,11550.1
2023-12-27T10:58:50.15625Z,-25.23542,-56.63489,11211.3
2023-12-27T10:59:50.15625Z,-25.23026,-56.62228,10881.1
2023-12-27T11:00:50.15625Z,-25.22514,-56.61035,10557.9
2023-12-27T11:01:50.15625Z,-25.22022,-56.59908,10241.2
2023-12-27T11:02:50.15625Z,-25.21531,-56.58833,9930.5
2023-12-27T11:03:50.15625Z,-25.21036,-56.57803,9625.8
2023-12-27T11:04:50.15625Z,-25.20546,-56.56800,9326.5
2023-12-27T11:05:50.15625Z,-25.20065,-56.55820,9032.7
2023-12-27T11:06:50.15625Z,-25.19565,-56.54884,8743.9
2023-12-27T11:07:50.15625Z,-25.19048,-56.54002,8460.1
2023-12-27T11:08:50.15625Z,-25.18563,-56.53203,8180.9
2023-12-27T11:09:50.15625Z,-25.18123,-56.52468,7906.2
2023-12-27T11:10:50.15625Z,-25.17750,-56.51738,7635.9
2023-12-27T11:11:50.15625Z,-25.17438,-56.51013,7369.7
2023-12-27T11:12:50.15625Z,-25.17178,-56.50299,7107.6
2023-12-27T11:13:50.15625Z,-25.16947,-56.49574,6849.3
2023-12-27T11:14:50.15625Z,-25.16731,-56.48831,6594.7
2023-12-27T11:15:50.15625Z,-25.16527,-56.48090,6343.7
2023-12-27T11:16:50.15625Z,-25.16329,-56.47383,6096.2
2023-12-27T11:17:50.15625Z,-25.16127,-56.46754,5852.1
2023-12-27T11:18:50.15625Z,-25.15917,-56.46222,5611.2
2023-12-27T11:19:50.15625Z,-25.15696,-56.45798,5373.4
2023-12-27T11:20:50.15625Z,-25.15447,-56.45507,5138.7
2023-12-27T11:21:50.15625Z,-25.15182,-56.45319,4907.0
2023-12-27T11:22:50.15625Z,-25.14917,-56.45204,4678.1
2023-12-27T11:23:50.15625Z,-25.14675,-56.45130,4451.9
2023-12-27T11:24:50.15625Z,-25.14458,-56.45082,4228.5
2023-12-27T11:25:50.15625Z,-25.14263,-56.45052,4007.7
2023-12-27T11:26:50.15625Z,-25.14082,-56.45017,3789.4
2023-12-27T11:27:50.15625Z,-25.13910,-56.44965,3573.6
2023-12-27T11:28:50.15625Z,-25.13739,-56.44883,3360.1
2023-12-27T11:29:50.15625Z,-25.13560,-56.44765,3149.1
2023-12-27T11:30:50.15625Z,-25.13374,-56.44612,2940.3
2023-12-27T11:31:50.15625Z,-25.13179,-56.44431,2733.7
2023-12-27T11:32:50.15625Z,-25.12982,-56.44233,2529.2
2023-12-27T11:33:50.15625Z,-25.12783,-56.44039,2326.9
2023-12-27T11:34:50.15625Z,-25.12586,-56.43863,2126.6
2023-12-27T11:35:50.15625Z,-25.12394,-56.43720,1928.4
2023-12-27T11:36:50.15625Z,-25.12217,-56.43621,1732.0
2023-12-27T11:37:50.15625Z,-25.12065,-56.43577,1537.6
2023-12-27T11:38:50.15625Z,-25.11946,-56.43599,1345.0
2023-12-27T11:39:50.15625Z,-25.11856,-56.43704,1154.3
2023-12-27T11:40:50.15625Z,-25.11777,-56.43904,965.3
2023-12-27T11:41:50.15625Z,-25.11690,-56.44192,778.1
2023-12-27T11:42:50.15625Z,-25.11593,-56.44511,592.5
2023-12-27T11:43:50.15625Z,-25.11499,-56.44798,408.6
2023-12-27T11:44:50.15625Z,-25.11421,-56.45012,226.3
2023-12-27T11:45:17.8125Z,-25.11399,-56.45066,143.1
